AgencyName,RdwyNumber,Street,StreetDir,RoadwayName,StreetSfx,OWNER,ROAD_CLASSIFICATION,COUNCIL_DISTRICT,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,DAY_OF_WEEK,CollisionDate,CollisionTime,HOUR_OF_DAY,UnitsInvolved,MotorVehiclesInvolved,MODE,AGE,GENDER,INJURY,FATALITY,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,IsSecondaryCollision
LOUISVILLE METRO POLICE DEPT,,,,GHEENS,AVE,METRO,LOCAL,0,,,,3RD,KY1020,SOUTHSIDE,FRIDAY,2016/01/08 06:52:00+00,152,1AM,1,1,MOTOR VEHICLE,48,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,W,OAK,ST,METRO,MINOR ARTERIAL,0,,,,4TH,,GARVIN,SATURDAY,2016/01/09 22:56:00+00,1756,5PM,2,2,MOTOR VEHICLE,45,FEMALE,TRUE,FALSE,RAINING,WET,FALSE,VEHICLE GOING IN WRONG DIRECTION,HEAD ON,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1450,,,BLUE LICK,RD,STATE,MINOR ARTERIAL,0,,,,PARK,,FREEDOM,SATURDAY,2016/01/09 23:24:00+00,1824,6PM,2,2,MOTOR VEHICLE,17,MALE,TRUE,FALSE,RAINING,WET,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1747,,S,HURSTBOURNE,PKWY,STATE,MAJOR ARTERIAL,0,,RIDGEHURST,,,,,SATURDAY,2016/01/10 02:39:00+00,2139,9PM,2,1,PEDESTRIAN,65,MALE,FALSE,TRUE,RAINING,WET,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0061,,,PRESTON,HWY,STATE,MAJOR ARTERIAL,0,,,,,,,SUNDAY,2016/01/10 11:40:00+00,640,6AM,1,1,MOTOR VEHICLE,18,FEMALE,TRUE,FALSE,BLOWING SAND/SOIL/DIRT/SNOW,SNOW/SLUSH,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0061,,S,PRESTON,ST,STATE,MINOR ARTERIAL,0,,KENTUCKY,,,,,MONDAY,2016/01/12 01:38:00+00,2038,8PM,2,2,MOTOR VEHICLE,36,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0155,3814,,TAYLORSVILLE,RD,STATE,MAJOR ARTERIAL,0,,,,,,,TUESDAY,2016/01/12 18:07:00+00,1307,1PM,2,1,PEDESTRIAN,49,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0031E,,E,MARKET,ST,STATE,MAJOR ARTERIAL,0,,,,CLAY,,SHELBY,TUESDAY,2016/01/12 23:11:00+00,1811,6PM,1,1,MOTOR VEHICLE,57,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0265,,,I-265,,FEDERAL,INTERSTATE,0,,,,,,,WEDNESDAY,2016/01/13 13:42:00+00,842,8AM,6,6,MOTOR VEHICLE,37,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY3084,,,OLD HENRY,RD,STATE,MINOR ARTERIAL,0,,ELITE,,,,,WEDNESDAY,2016/01/13 21:46:00+00,1646,4PM,2,2,MOTOR VEHICLE,44,FEMALE,TRUE,FALSE,RAINING,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,CURVE & HILLCREST,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0064,,,I-64,,FEDERAL,INTERSTATE,0,,,,,,,FRIDAY,2016/01/15 20:26:00+00,1526,3PM,3,3,MOTOR VEHICLE,35,FEMALE,TRUE,FALSE,RAINING,WET,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,CENTRAL,AVE,METRO,MINOR ARTERIAL,0,,4TH,,,,,SUNDAY,2016/01/17 09:26:00+00,426,4AM,2,2,MOTOR VEHICLE,20,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,REAR END - ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,,,,,SUNDAY,2016/01/17 12:21:00+00,721,7AM,2,2,MOTOR VEHICLE,60,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,W,OAK,ST,METRO,MINOR ARTERIAL,0,,6TH,,,,,MONDAY,2016/01/18 12:57:00+00,757,7AM,2,2,MOTOR VEHICLE,39,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0031E,,,BUECHEL,BYP,STATE,MAJOR ARTERIAL,0,,,,,,,TUESDAY,2016/01/19 13:52:00+00,852,8AM,2,2,MOTOR VEHICLE,25,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0064,,,I-64,,FEDERAL,INTERSTATE,0,,,,,,,TUESDAY,2016/01/19 14:59:00+00,959,9AM,2,2,MOTOR VEHICLE,31,MALE,FALSE,TRUE,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,BANK,ST,METRO,MINOR ARTERIAL,0,,17TH,,,,,TUESDAY,2016/01/19 15:05:00+00,1005,10AM,1,1,MOTOR VEHICLE,64,MALE,TRUE,FALSE,SNOWING,SNOW/SLUSH,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY3064,,,PORTLAND,AVE,STATE,MINOR ARTERIAL,0,,24TH,,,,,TUESDAY,2016/01/19 15:55:00+00,1055,10AM,2,2,MOTOR VEHICLE,43,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,ARNOLDTOWN,RD,METRO,PRIMARY COLLECTOR,0,,,,HARDWOOD FOREST,,WAVERLY PARK,THURSDAY,2016/01/21 17:39:00+00,1239,12PM,3,3,MOTOR VEHICLE,59,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,CURVE & GRADE,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,S,FLOYD,ST,METRO,MINOR ARTERIAL,0,,LEE,,,,,THURSDAY,2016/01/21 22:00:00+00,1700,5PM,1,1,MOTOR VEHICLE,51,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
JEFFERSONTOWN POLICE DEPT,KY0155,,,TAYLORSVILLE,RD,STATE,MAJOR ARTERIAL,0,,,,SIX MILE,,NARWOOD,MONDAY,2016/01/25 05:23:00+00,23,12AM,2,1,PEDESTRIAN,23,FEMALE,TRUE,FALSE,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,STRAWBERRY,LN,METRO,PRIMARY COLLECTOR,0,,ESTELE,,,,,MONDAY,2016/01/25 20:42:00+00,1542,3PM,2,2,MOTOR VEHICLE,27,FEMALE,TRUE,FALSE,CLOUDY,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,STRAWBERRY,LN,METRO,PRIMARY COLLECTOR,0,,ESTELE,,,,,MONDAY,2016/01/25 20:42:00+00,1542,3PM,2,2,MOTOR VEHICLE,52,FEMALE,TRUE,FALSE,CLOUDY,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,STRAWBERRY,LN,METRO,PRIMARY COLLECTOR,0,,ESTELE,,,,,MONDAY,2016/01/25 20:42:00+00,1542,3PM,2,2,MOTOR VEHICLE,93,FEMALE,FALSE,TRUE,CLOUDY,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,CHAMBERLAIN,LN,METRO,PRIMARY COLLECTOR,0,KY1447,WESTPORT,,,,,MONDAY,2016/01/26 00:46:00+00,1946,7PM,2,1,PEDESTRIAN,44,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,,,,,WEDNESDAY,2016/01/27 12:24:00+00,724,7AM,1,1,MOTOR VEHICLE,36,FEMALE,TRUE,FALSE,CLOUDY,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,S,WATTERSON,TRL,METRO,PRIMARY COLLECTOR,0,,,,STONE BLUFF,KY1747,HURSTBOURNE PKY,WEDNESDAY,2016/01/27 20:05:00+00,1505,3PM,1,1,MOTOR VEHICLE,15,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,S,WATTERSON,TRL,METRO,PRIMARY COLLECTOR,0,,,,STONE BLUFF,KY1747,HURSTBOURNE PKY,WEDNESDAY,2016/01/27 20:05:00+00,1505,3PM,1,1,MOTOR VEHICLE,16,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0071,,,I-71,,FEDERAL,INTERSTATE,0,,,,,,,THURSDAY,2016/01/28 15:51:00+00,1051,10AM,2,2,MOTORCYCLE,25,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,MAJOR ARTERIAL,0,,EMERSON,,,,,THURSDAY,2016/01/28 19:25:00+00,1425,2PM,2,2,MOTORCYCLE,32,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,S,CLAY,ST,METRO,LOCAL,0,,JACOB,,,,,THURSDAY,2016/01/28 20:28:00+00,1528,3PM,1,1,MOTOR VEHICLE,43,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,,,,,SATURDAY,2016/01/30 13:22:00+00,822,8AM,1,1,MOTORCYCLE,50,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1230,,,CANE RUN,RD,STATE,PRIMARY COLLECTOR,0,,,,PORT,,RIVERPORT,SATURDAY,2016/01/30 20:30:00+00,1530,3PM,1,1,MOTORCYCLE,66,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,OVERTURNED IN ROADWAY,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,MAJOR ARTERIAL,0,,,,BANNON CROSSINGS,,ROXANN,SATURDAY,2016/01/31 02:09:00+00,2109,9PM,1,1,MOTOR VEHICLE,40,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,2184,,EMERSON,AVE,STRATHMOOR MANOR,LOCAL,0,,,,,,,SUNDAY,2016/01/31 11:08:00+00,608,6AM,1,0,PEDESTRIAN,44,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,S,9TH,ST,METRO,MAJOR ARTERIAL,0,,,,BRECKINRIDGE,,KENTUCKY,SUNDAY,2016/02/01 02:47:00+00,2147,9PM,2,1,PEDESTRIAN,51,MALE,FALSE,TRUE,CLOUDY,DRY,TRUE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
ST. MATTHEWS POLICE DEPARTMENT,KY0146,,,NEW LA GRANGE,RD,STATE,MINOR ARTERIAL,0,,FOREST,,,,,TUESDAY,2016/02/02 12:36:00+00,736,7AM,2,2,MOTOR VEHICLE,27,FEMALE,TRUE,FALSE,RAINING,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,MURPHY,LN,METRO,PRIMARY COLLECTOR,0,,TAZWELL,,,,,TUESDAY,2016/02/03 02:01:00+00,2101,9PM,2,2,MOTOR VEHICLE,57,FEMALE,TRUE,FALSE,CLOUDY,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,2400,S,4TH,ST,METRO,MINOR ARTERIAL,0,,,,,,,WEDNESDAY,2016/02/03 12:08:00+00,708,7AM,1,1,MOTOR VEHICLE,22,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,BARRET,AVE,METRO,MINOR ARTERIAL,0,,WINTER,,,,,WEDNESDAY,2016/02/03 13:55:00+00,855,8AM,2,1,BICYCLE,52,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,CIRCLE OF CHAMPIONS,,STATE,PRIMARY COLLECTOR,0,,,,,,,WEDNESDAY,2016/02/03 16:10:00+00,1110,11AM,3,3,MOTOR VEHICLE,54,MALE,TRUE,FALSE,CLOUDY,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0042,,,BROWNSBORO,RD,STATE,MAJOR ARTERIAL,0,,HILLCREST,,,,,WEDNESDAY,2016/02/03 18:40:00+00,1340,1PM,1,1,MOTOR VEHICLE,24,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,OCCUPANT FELL FROM MOVING VEHICLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,I 0264,I264 E EXIT18 ON RAMP FROM KY1932,I 0264,I264 E EXIT18 OFF RAMP TO KY1932,THURSDAY,2016/02/04 05:08:00+00,8,12AM,1,1,MOTOR VEHICLE,66,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,E,CHESTNUT,ST,METRO,MINOR ARTERIAL,0,,,,HANCOCK,,CLAY,THURSDAY,2016/02/04 18:37:00+00,1337,1PM,2,2,MOTOR VEHICLE,21,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,,,,,THURSDAY,2016/02/05 02:44:00+00,2144,9PM,3,3,MOTOR VEHICLE,19,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,,,,,THURSDAY,2016/02/05 02:44:00+00,2144,9PM,3,3,MOTOR VEHICLE,19,MALE,FALSE,TRUE,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0031W,,,DIXIE,HWY,STATE,MAJOR ARTERIAL,0,,,,STARDUST,,BRUNER,FRIDAY,2016/02/05 23:22:00+00,1822,6PM,2,2,MOTOR VEHICLE,47,FEMALE,FALSE,TRUE,CLEAR,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0071,,,I-71,,FEDERAL,INTERSTATE,0,,,I 0071,I71 N EXIT2 OFF RAMP TO ZORN AVE,I 0071,I71 N EXIT2 ON RAMP FROM ZORN AVE,FRIDAY,2016/02/06 00:52:00+00,1952,7PM,3,3,MOTOR VEHICLE,27,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,CURVE & GRADE,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,W,ST CATHERINE,ST,METRO,MINOR ARTERIAL,0,,,,,,,FRIDAY,2016/02/06 04:14:00+00,2314,11PM,3,3,MOTOR VEHICLE,27,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,I 0065,I65 S EXIT134 OFF RAMP TO ARTHUR ST,,,,,SATURDAY,2016/02/06 22:24:00+00,1724,5PM,1,1,MOTOR VEHICLE,28,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0155,,,TAYLORSVILLE,RD,STATE,MAJOR ARTERIAL,0,KY1932,BRECKENRIDGE,,,,,SUNDAY,2016/02/07 08:58:00+00,358,3AM,2,2,MOTOR VEHICLE,46,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
